order_id,order_seq_nbr,customer_id,product_id,order_date
1,1,1,1,2021-10-15
2,1,1,3,2021-10-15
3,1,2,2,2021-10-16
4,1,2,4,2021-10-16
5,1,3,5,2021-10-17
6,1,3,6,2021-10-17
7,1,4,7,2021-10-18
8,1,4,8,2021-10-18
9,1,5,9,2021-10-19
10,1,5,10,2021-10-19
11,1,6,11,2021-10-20
12,1,6,12,2021-10-20
13,1,7,13,2021-10-21
14,1,7,14,2021-10-21
15,1,8,15,2021-10-22
16,1,8,16,2021-10-22
17,1,9,17,2021-10-23
18,1,9,18,2021-10-23
19,1,10,19,2021-10-24
20,1,10,20,2021-10-24
21,1,11,21,2021-10-25
22,1,11,22,2021-10-25
23,1,12,23,2021-10-26
24,1,12,24,2021-10-26
25,1,13,25,2021-10-27
26,1,13,26,2021-10-27
27,1,14,27,2021-10-28
28,1,14,28,2021-10-28
29,1,15,29,2021-10-29
30,1,15,30,2021-10-29
31,1,16,1,2021-10-30
32,2,16,2,2021-10-30
33,1,17,3,2021-10-31
34,1,17,4,2021-10-31
35,1,18,5,2021-11-01
36,2,18,6,2021-11-01
37,1,19,7,2021-11-02
38,1,19,8,2021-11-02
39,1,20,9,2021-11-03
40,2,20,10,2021-11-03
41,1,21,11,2021-11-04
42,1,21,12,2021-11-04
43,1,22,13,2021-11-05
44,1,22,14,2021-11-05
45,1,23,15,2021-11-06
46,1,23,16,2021-11-06
47,1,24,17,2021-11-07
48,2,24,18,2021-11-07
49,1,25,19,2021-11-08
50,1,25,20,2021-11-08
51,1,26,21,2021-11-09
52,1,26,22,2021-11-09
53,1,27,23,2021-11-10
54,2,27,24,2021-11-10
55,1,28,25,2021-11-11
56,2,28,26,2021-11-11
57,1,29,27,2021-11-12
58,1,29,28,2021-11-12
59,1,30,29,2021-11-13
60,2,30,30,2021-11-13
61,1,31,1,2021-11-14
62,1,31,2,2021-11-14
63,1,32,3,2021-11-15
64,2,32,4,2021-11-15
65,1,33,5,2021-11-16
66,1,33,6,2021-11-16
67,1,34,7,2021-11-17
68,2,34,8,2021-11-17
69,1,35,9,2021-11-18
70,1,35,10,2021-11-18
71,1,36,11,2021-11-19
72,1,36,12,2021-11-19
73,1,37,13,2021-11-20
74,2,37,14,2021-11-20
75,1,38,15,2021-11-21
76,1,38,16,2021-11-21
77,1,39,17,2021-11-22
78,2,39,18,2021-11-22
79,1,40,19,2021-11-23
80,1,40,20,2021-11-23
81,1,41,21,2021-11-24
82,2,41,22,2021-11-24
83,1,42,23,2021-11-25
84,1,42,24,2021-11-25
85,1,43,25,2021-11-26
86,1,43,26,2021-11-26
87,1,44,27,2021-11-27
88,2,44,28,2021-11-27
89,1,45,29,2021-11-28
90,1,45,30,2021-11-28
91,1,46,1,2021-11-29
92,1,46,2,2021-11-29
93,1,47,3,2021-11-30
94,2,47,4,2021-11-30
95,1,48,5,2021-12-01
96,1,48,6,2021-12-01
97,1,49,7,2021-12-02
98,2,49,8,2021-12-02
99,1,50,9,2021-12-03
100,1,50,10,2021-12-03
101,1,51,11,2021-12-04
102,1,51,12,2021-12-04
103,1,52,13,2021-12-05
104,1,52,14,2021-12-05
105,1,53,15,2021-12-06
106,2,53,16,2021-12-06
107,1,54,17,2021-12-07
108,1,54,18,2021-12-07
109,1,55,19,2021-12-08
110,2,55,20,2021-12-08
111,1,56,21,2021-12-09
112,1,56,22,2021-12-09
113,1,57,23,2021-12-10
114,2,57,24,2021-12-10
115,1,58,25,2021-12-11
116,1,58,26,2021-12-11
117,1,59,27,2021-12-12
118,1,59,28,2021-12-12
119,1,60,29,2021-12-13
120,2,60,30,2021-12-13
121,1,61,1,2021-12-14
122,1,61,2,2021-12-14
123,1,62,3,2021-12-15
124,2,62,4,2021-12-15
125,1,63,5,2021-12-16
126,1,63,6,2021-12-16
127,1,64,7,2021-12-17
128,2,64,8,2021-12-17
