order_id,order_seq_nbr,customer_id,product_id,order_date
1,1,1,3,2021-10-12
1,2,1,9,2021-10-12
2,1,2,1,2021-11-22
3,1,3,24,2021-12-05
4,1,4,6,2021-09-15
4,2,4,21,2021-09-15
5,1,5,10,2021-08-30
6,1,6,15,2021-07-19
6,2,6,8,2021-07-19
7,1,7,4,2022-01-10
8,1,8,29,2022-02-14
9,1,9,19,2022-03-11
10,1,10,11,2022-04-22
10,2,10,20,2022-04-22
11,1,11,18,2022-05-26
12,1,12,27,2022-06-17
13,1,13,5,2022-07-08
14,1,14,16,2022-08-02
15,1,15,12,2022-09-25
16,1,16,25,2022-10-09
17,1,17,26,2022-11-01
18,1,18,2,2023-01-15
19,1,19,7,2023-02-08
19,2,19,14,2023-02-08
20,1,20,30,2023-03-30
21,1,21,24,2023-04-12
22,1,22,15,2023-05-15
22,2,22,3,2023-05-15
23,1,23,13,2023-06-18
24,1,24,1,2023-07-04
24,2,24,9,2023-07-04
25,1,25,6,2023-08-22
26,1,26,23,2023-09-10
27,1,27,2,2021-05-30
28,1,28,8,2022-08-29
29,1,29,22,2022-09-15
30,1,30,3,2021-10-01
30,2,30,14,2021-10-01
31,1,31,28,2022-12-30
32,1,32,16,2023-01-12
33,1,33,10,2023-02-24
34,1,34,4,2021-07-20
35,1,35,5,2021-06-16
36,1,36,19,2022-03-18
37,1,37,12,2022-04-07
38,1,38,4,2022-11-07
39,1,39,29,2022-12-03
40,1,40,24,2023-01-11
41,1,41,27,2023-02-25
42,1,42,13,2023-03-15
42,2,42,22,2023-03-15
43,1,43,30,2021-09-29
44,1,44,8,2023-04-18
45,1,45,21,2023-05-06
46,1,46,1,2023-05-12
47,1,47,7,2022-07-17
48,1,48,26,2023-01-03
49,1,49,11,2023-08-14
50,1,50,18,2023-09-02
51,1,51,2,2021-12-31
52,1,52,19,2022-03-13
53,1,53,14,2022-11-16
54,1,54,6,2022-05-07
55,1,55,21,2022-06-09
56,1,56,12,2021-05-17
57,1,57,8,2022-07-22
58,1,58,27,2022-08-27
59,1,59,20,2022-09-11
60,1,60,23,2022-10-01
61,1,61,5,2022-11-25
62,1,62,9,2023-06-23
63,1,63,18,2023-07-18
64,1,64,6,2023-03-09
65,1,65,27,2023-05-29
66,1,66,14,2023-06-05
67,1,67,4,2023-08-02
68,1,68,1,2022-01-23
69,1,69,25,2022-02-10
70,1,70,11,2023-07-16
71,1,71,15,2023-08-18
72,1,72,30,2023-09-04
73,1,73,2,2023-03-17
74,1,74,29,2023-01-24
75,1,75,28,2022-12-19
76,1,76,13,2021-11-10
77,1,77,19,2021-10-28
78,1,78,7,2023-01-20
79,1,79,12,2023-02-26
80,1,80,4,2023-03-26
81,1,81,16,2023-05-11
82,1,82,20,2023-06-12
83,1,83,9,2022-11-30
84,1,84,30,2022-12-06
85,1,85,21,2022-05-22
86,1,86,10,2023-02-05
87,1,87,1,2023-03-02
88,1,88,3,2021-12-14
89,1,89,26,2022-07-25
90,1,90,14,2021-08-17
91,1,91,8,2022-03-04
92,1,92,2,2023-04-19
93,1,93,28,2023-05-02
94,1,94,5,2022-01-08
95,1,95,22,2023-09-13
96,1,96,14,2023-01-07
97,1,97,1,2023-01-21
98,1,98,24,2023-04-01
99,1,99,3,2021-11-23
100,1,100,9,2021-06-21
101,1,1,7,2022-11-14
102,1,2,15,2023-03-05
103,1,3,27,2021-03-18
104,1,4,12,2023-02-17
105,1,5,19,2022-10-05
106,1,6,20,2021-12-12
107,1,7,22,2023-04-07
108,1,8,11,2022-05-21
109,1,9,26,2022-09-18
110,1,10,4,2023-06-20
111,1,11,10,2022-01-29
112,1,12,8,2021-05-15
113,1,13,3,2023-01-16
114,1,14,29,2022-12-01
115,1,15,1,2022-08-08
116,1,16,25,2021-09-11
117,1,17,17,2023-05-19
118,1,18,11,2021-11-18
119,1,19,14,2023-02-22
120,1,20,18,2022-10-03
121,1,21,5,2022-04-28
122,1,22,23,2022-07-10
123,1,23,22,2021-08-21
124,1,24,1,2022-09-22
125,1,25,12,2023-05-13
126,1,26,30,2023-01-11
127,1,27,9,2022-06-04
128,1,28,28,2023-03-28
129,1,29,17,2022-11-20
130,1,30,21,2021-10-06
131,1,31,14,2022-10-07
132,1,32,22,2023-06-01
133,1,33,2,2022-12-24
134,1,34,13,2021-08-02
135,1,35,1,2022-04-30
136,1,36,19,2023-04-10
137,1,37,8,2022-10-28
138,1,38,5,2023-02-14
139,1,39,29,2021-07-23
140,1,40,24,2023-08-05
141,1,41,4,2022-03-24
142,1,42,19,2023-06-11
143,1,43,6,2023-08-09
144,1,44,27,2023-01-17
145,1,45,2,2021-10-31
146,2,46,12,2023-03-21
147,2,46,11,2023-03-21
148,2,47,22,2023-03-10
149,1,48,16,2022-06-08
150,1,49,15,2023-04-15
151,1,50,19,2021-11-27
152,2,51,18,2023-01-18
153,1,52,17,2022-12-12
154,2,52,13,2023-02-15
155,1,53,9,2022-12-17
156,1,54,25,2023-06-02
157,1,55,4,2022-03-22
158,1,56,30,2022-10-10
159,1,57,5,2023-02-01
160,1,58,8,2022-01-11
161,2,58,1,2023-03-20
162,2,59,7,2021-09-22
163,1,60,21,2023-05-27
164,1,61,2,2021-12-15
165,1,62,10,2022-11-07
166,1,63,12,2021-02-05
167,1,64,8,2022-08-18
168,1,65,15,2023-06-06
169,1,66,29,2023-05-24
170,1,67,20,2021-06-03
171,1,68,28,2022-06-12
172,1,69,18,2022-10-01
173,1,70,3,2021-08-31
174,1,71,10,2023-03-14
175,1,72,14,2022-12-14
176,1,73,15,2022-12-22
177,1,74,2,2022-09-07
178,1,75,27,2022-05-28
179,1,76,30,2023-02-23
180,1,77,9,2023-07-14
181,1,78,11,2022-04-16
182,1,79,1,2021-07-25
183,1,80,25,2023-04-04
184,1,81,8,2021-12-19
185,1,82,13,2023-05-29
186,1,83,19,2022-06-26
187,1,84,6,2023-01-29
188,1,85,9,2023-02-14
189,1,86,23,2022-08-01
190,1,87,12,2023-01-05
191,1,88,2,2023-05-07
192,1,89,22,2023-05-15
193,1,90,3,2021-03-07
194,1,91,10,2022-02-15
195,1,92,15,2023-03-09
196,1,93,24,2023-06-10
197,1,94,17,2021-11-22
198,1,95,27,2022-11-04
199,1,96,4,2021-08-06
200,1,97,14,2022-08-06
201,1,98,10,2022-03-05
202,1,99,19,2023-01-30
203,1,100,12,2022-05-18
204,2,1,3,2022-06-15
205,2,2,29,2023-02-09
206,2,3,11,2023-05-06
207,2,4,15,2021-10-12
208,2,5,22,2023-05-10
209,2,6,16,2022-07-23
210,2,7,2,2022-04-29
211,2,8,4,2021-05-18
212,2,9,20,2023-02-14
213,2,10,28,2022-11-23
214,2,11,1,2023-03-08
215,2,12,30,2021-12-19
216,2,13,14,2023-05-30
217,2,14,9,2022-12-31
218,2,15,6,2023-08-07
219,2,16,13,2023-02-12
220,2,17,25,2023-06-25
221,2,18,10,2021-03-14
222,2,19,3,2023-01-01
223,2,20,21,2022-05-08
224,2,21,15,2021-07-23
225,2,22,5,2023-06-04
226,2,23,12,2022-11-08
227,2,24,18,2023-02-23
228,2,25,34,2022-12-15
229,2,26,8,2021-04-02
230,2,27,14,2021-11-24
231,2,28,20,2023-02-02
232,2,29,11,2022-06-02
233,2,30,16,2023-05-27
234,2,31,27,2023-03-19
235,2,32,19,2023-01-26
236,2,33,22,2021-07-05
237,2,34,3,2022-04-10
238,2,35,20,2022-03-30
239,2,36,28,2021-06-29
240,2,37,30,2021-05-07
241,2,38,25,2021-04-22
242,2,39,12,2023-08-26
243,2,40,38,2023-05-06
244,2,41,17,2022-12-23
245,2,42,14,2021-11-29
246,2,43,7,2022-06-14
247,2,44,2,2023-07-07
248,2,45,18,2022-09-20
249,2,46,14,2021-04-26
250,2,47,6,2023-05-07
251,2,48,11,2022-08-15
252,2,49,22,2021-12-17
